package,count
rlang,2766463
ragg,2737830
textshaping,2637905
vctrs,2177625
cli,2143095
dplyr,1884335
ggplot2,1882009
lifecycle,1811426
tibble,1773016
pillar,1621275
tidyverse,1593676
systemfonts,1559604
stringr,1552904
pkgdown,1363277
jsonlite,1355409
tidyselect,1299654
fs,1275696
glue,1263495
stringi,1251377
devtools,1209574
purrr,1189224
processx,1188685
magrittr,1163237
curl,1153408
ps,1153177
httr,1142597
scales,1129196
tidyr,1101348
withr,1092495
callr,1074008
rmarkdown,1069999
xfun,1040490
sass,1039505
bslib,1023275
htmltools,1018984
Rcpp,1008286
utf8,1008168
fansi,1006126
cpp11,991362
openssl,972611
rgl,956686
testthat,932710
R6,924386
xml2,915436
fontawesome,862693
gtable,862348
hms,862243
readxl,855112
igraph,844142
generics,843687
readr,842156
cachem,837667
pkgload,831953
colorspace,827926
lubridate,821113
viridisLite,814452
pkgconfig,814340
fastmap,812147
crayon,812137
digest,811421
data.table,809143
tinytex,800062
vroom,799762
knitr,791967
evaluate,785161
RColorBrewer,783176
isoband,771983
broom,756584
farver,753362
yaml,734802
jquerylib,728853
sf,727336
ellipsis,695769
memoise,689765
zoo,686769
rappdirs,681846
mime,679770
highr,676003
munsell,674907
timechange,655315
sys,654968
labeling,652031
dbplyr,650100
prettyunits,640937
base64enc,640318
Hmisc,629682
bit,621598
rstudioapi,619281
haven,609947
later,609550
tzdb,603587
forcats,589261
gargle,584186
rvest,568472
rematch2,562783
progress,555819
rprojroot,554469
askpass,544064
desc,543488
waldo,541630
htmlwidgets,530542
shiny,529195
httpuv,526627
modelr,525427
promises,523868
commonmark,520867
googledrive,519864
bit64,518174
googlesheets4,511651
conflicted,507145
lme4,504880
DBI,502664
uuid,500639
dtplyr,495823
backports,494712
clipr,493048
blob,473065
plyr,472763
car,461144
brio,454509
cellranger,452935
diffobj,449804
rematch,448872
RcppEigen,446254
reprex,440414
rJava,433557
praise,432539
selectr,402262
rgeos,401423
remotes,400236
nloptr,397412
RcppArmadillo,395734
zip,384990
quantreg,379552
gridExtra,367766
reshape2,367298
e1071,365323
markdown,364878
lazyeval,358955
minqa,349170
pkgbuild,341953
abind,341554
numDeriv,341252
ids,341178
lmtest,336894
viridis,334106
sourcetools,326384
MatrixModels,321385
Matrix,319724
mvtnorm,319154
xtable,318869
xts,313148
SparseM,308960
proxy,308418
png,301713
BH,301270
ggrepel,299826
RCurl,299643
pbkrtest,295175
forecast,284957
checkmate,284851
carData,282913
covr,282277
crosstalk,280502
globals,270776
bitops,268371
XML,266576
httr2,263935
openxlsx,257710
renv,256992
foreach,251025
MASS,250975
Formula,248850
rio,247650
sp,246882
plotly,244326
parallelly,242926
roxygen2,240840
profvis,240704
future,239702
xlsx,237928
iterators,237083
corrplot,235513
gh,234732
ggpubr,234564
miniUI,233559
sandwich,233317
waterfalls,230476
quantmod,229546
quadprog,229148
gert,228392
RcppTOML,227618
usethis,227382
rcmdcheck,225908
reticulate,222060
rstatix,218248
caret,216836
tseries,216634
units,214356
sessioninfo,214328
matrixStats,211239
timeDate,210267
xopen,209807
psych,208151
DT,207260
recipes,200919
credentials,200598
sodium,199283
whisker,198791
TTR,198052
htmlTable,197047
listenv,196234
rversions,194996
urlchecker,194112
gtools,193609
cowplot,190647
xlsxjars,189779
jpeg,187662
insight,187585
classInt,186139
shape,183255
hardhat,182264
