file,fname,arg_types,ret_type
'stats::asOneSidedFormula','identical',"'formula','formula'",'logical',
'stats::asOneSidedFormula','as.name',"'character'",'name',
'stats::r2dtable','c',"'double','double','double','double'",'v<double>',
'stats::r2dtable','c',"'character','character'",'v<character>',
'stats::r2dtable','list',"'v<character>','v<character>'",'list',
'stats::r2dtable','sum',"'v<double>'",'double',
'stats::r2dtable','sapply',"'list','function'",'v<double>',
'stats::r2dtable','>=',"'v<double>','double'",'v<logical>',
'stats::r2dtable','sum',"'v<logical>'",'integer',
'stats::r2dtable','/',"'integer','double'",'double',
'stats::drop.terms',':',"'double','double'",'v<integer>',
'stats::drop.terms','-',"'double'",'double',
'stats::confint.lm','/',"'double','v<double>'",'v<double>',
'stats::confint.lm','list',"'v<double>','v<double>','v<double>','v<double>','v<double>'",'list',
'stats::confint.lm','list','','list',
'stats::confint.lm','lm',"'formula','list'",'list',
'stats::confint.lm','c',"'double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::confint.lm','list',"'v<double>','integer','integer'",'list',
'stats::confint.lm','glm',"'formula','list'",'list',
'stats::is.mts','c',"'double','double'",'v<double>',
'stats::is.mts','print',"'integer','logical'",'integer',
'stats::is.mts','+',"'double','v<double>'",'v<double>',
'stats::is.mts','plot',"'double'",'NULL',
'stats::is.mts','plot',"'double','double','double','character','character'",'NULL',
'stats::nlminb','rep',"'double','double'",'v<double>',
'stats::nlminb','length',"'v<double>'",'integer',
'stats::nlminb','-',"'v<double>','v<double>'",'v<double>',
'stats::nlminb','c',"'double','double','double','double','double'",'v<double>',
'stats::nlminb','*',"'double','v<double>'",'v<double>',
'stats::nlminb','*',"'double','double'",'double',
'stats::nlminb','-',"'double','double'",'double',
'stats::nlminb','+',"'double','double'",'double',
'stats::nlminb','-',"'integer','double'",'double',
'stats::nlminb','c',"'double','v<double>'",'v<double>',
'stats::nlminb','-',"'integer'",'integer',
'stats::nlminb','*',"'v<double>','v<double>'",'v<double>',
'stats::nlminb','list',"'double'",'list',
'stats::alias','list',"'v<double>','integer','integer','integer','integer'",'list',
'stats::gaussian','str',"'list'",'NULL',
'stats::gaussian','/',"'double','double'",'double',
'stats::gaussian','seq',"'double','double','double'",'v<double>',
'stats::gaussian','plot',"'v<double>','v<double>','character'",'NULL',
'stats::gaussian','+',"'v<double>','v<double>'",'v<double>',
'stats::gaussian','/',"'v<double>','double'",'v<double>',
'stats::gaussian','/',"'v<double>','v<double>'",'v<double>',
'stats::gaussian','data.frame',"'integer','integer','v<double>'",'list',
'stats::gaussian','glm',"'formula','list','list'",'list',
'stats::gaussian','anova',"'list','character'",'list',
'stats::gaussian','summary',"'list'",'list',
'stats::gaussian','anova',"'list','double','character'",'list',
'stats::gaussian','summary',"'list','double'",'list',
